#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 120 0 0 0 0.5 0.000297412219529818 48.0041379905265 833.90679084088 1876.03626804006 0.0344942606743593 0.0206951290107683 0.171409489958265 0.0951263928407695 0.809494725570056 0.162027592358185 0.662941785106003 0.662976705177784 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.500 5 121 0 0 0 0.5 0.000289846090204713 48.3575076456317 799.572487994323 1878.15430692544 0.0343052416835664 0.0204603181835606 0.171511444973974 0.0953055799396589 0.809414556118455 0.162230570436318 0.665431504288905 0.665468400148559 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 120 0 0 0 1 0.000411839767757255 44.2122616642028 1514.85922214772 1853.31796521601 0.0376191023320738 0.0239742356358875 0.169840221830376 0.0936548771791016 0.810881868121662 0.159635134995282 0.616283274806545 0.61629906773675 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1.000 5 121 0 0 0 1 0.000400282411692459 44.5355813517148 1460.37523557581 1855.25455482253 0.0373204967415593 0.0236668382074034 0.169960112062246 0.0938016862488279 0.810779752035802 0.159868141899125 0.617499575913477 0.617517046488175 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 120 0 0 0 2 0.000577457743029972 40.7250729102841 2512.44939357378 1832.44253066937 0.0417352634407873 0.0279880415403673 0.168277051226018 0.0925499900485457 0.812307971243224 0.156155486847512 0.600351285212613 0.600352009248639 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d2.000 5 121 0 0 0 2 0.00056111351797161 41.02103520456 2435.02688994515 1834.21359729821 0.0413618581250507 0.0276221759648386 0.168396262154047 0.0926454533409704 0.812200420396565 0.156546609977526 0.599912345083991 0.599913805036246 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 120 0 0 0 5 0.000872418093596011 36.5467366482183 4301.31920164198 1807.45746167794 0.0476933542614616 0.033829653032616 0.166445134029884 0.0917877441543623 0.814041686431528 0.139000422290405 0.632221831433172 0.632429932314539 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 121 0 0 0 5 0.000850921596700318 36.8101407956999 4204.02379810899 1809.03169557172 0.0473117158987524 0.0334453048180181 0.166552891887655 0.0918268919059709 0.813939031500382 0.14197890121482 0.639754066717546 0.639891142758447 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 120 0 0 0 10 0.00113964168307175 33.6853072996435 5927.51560789635 1790.36584598026 0.0520073754986617 0.0382300792919934 0.165194538389251 0.091446872144639 0.815246012631426 0.0277670369508946 0.567252047212048 0.581394816014826 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 121 0 0 0 10 0.00111479413333371 33.9265299397145 5820.41205585472 1791.80602572636 0.0516371835054339 0.0378469168413528 0.165299675537162 0.0914792266320525 0.815145169427516 0.0397556986471552 0.500697532807994 0.513839215360746 1 4.65175731857173e-005 
