#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 120 0 0 0 5 0.00166365483860359 36.4133221454177 4053.81568122521 1757.2471971571 0.0670348071915139 0.0469103712512704 0.166601375306992 0.0993224409430066 0.814770579572195 0.136061860360724 0.610127935338331 0.610428743127811 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d5.000 5 121 0 0 0 5 0.0016323693060641 36.6758316888792 4149.34084029877 1758.81352575429 0.0667109877367258 0.0465175338597681 0.166684909510806 0.0994820098973735 0.814707137624863 0.136145034838986 0.609105120991645 0.609403824110948 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 120 0 0 0 10 0.00206219813556848 33.5626852432135 5205.93499210627 1740.25456932373 0.071054070528967 0.0516212845503859 0.16558362265134 0.0977116856538369 0.81558620668478 0.132981539242973 0.610743435839525 0.611148289103417 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d10.000 5 121 0 0 0 10 0.00202373646704194 33.8033179712923 5327.50269410208 1741.68763488668 0.070674470294019 0.0511878151563148 0.165674908008405 0.0978552001657869 0.815512787074596 0.13336318510179 0.609073875915027 0.609466030253137 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 120 0 0 0 20 0.00256921656561556 30.946795863223 6677.70082108789 1724.70069118577 0.0759659711067274 0.0570111391498308 0.164393835209448 0.0962002149558854 0.816587995236585 0.123903410578104 0.603370625366969 0.604182947673209 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 121 0 0 0 20 0.00251920037390173 31.1673275518399 6825.03813940463 1726.00992679998 0.075491192747889 0.0565037145561679 0.164500581171822 0.0963307089223111 0.816497378153072 0.125042790885777 0.604119484522834 0.604872881194925 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d50.000 5 120 0 0 0 50 0.00348489483830378 27.817297429908 9345.28746103896 1706.17917482396 0.0842258541922878 0.0655706234508224 0.162862703568957 0.0946996842839696 0.817933396736297 0.0742476343501441 0.438602994368767 0.446015259918831 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d50.000 5 121 0 0 0 50 0.00341486309685025 28.0137734678072 9541.84066082669 1707.33849219549 0.0836273388553225 0.064959244125369 0.162944863893952 0.0947717343032193 0.817860134854887 0.079852103269709 0.466319769640068 0.472371584795924 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d100.000 5 120 0 0 0 100 0.0043721734527684 25.6761811499276 11935.4871292686 1693.58002787751 0.0913403975020548 0.0728243921519449 0.162213692859941 0.0941395745610974 0.818513437365032 0.013552292251762 0.409648314425784 0.433453986236958 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d100.000 5 121 0 0 0 100 0.0042890697171773 25.8562211058033 12199.0833942517 1694.63708167053 0.090710742409276 0.0721802691529204 0.162249393098475 0.0941680041222007 0.818481244437624 0.0162202562617553 0.405098135591953 0.428282954310354 1 9.13432472633322e-005 
